Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	GSM_SS	
1354373482	968.45	671.80	1357	1600	16000	1.840	3.295	15	14	
1354373539	978.60	1008.33	1357	1600	16000	1.871	3.933	15	14	
1354373590	825.90	1123.62	1357	1600	16000	1.565	3.928	15	14	
1354373641	844.06	1087.64	1357	1600	16000	1.681	3.719	15	17	
1354373688	972.34	1146.25	1357	1600	16000	1.801	3.325	15	14	
1354373738	984.44	1149.10	1357	1600	16000	1.813	3.690	15	17	
1354373795	986.91	561.82	1357	1600	16000	1.902	2.715	15	14	
1354373849	815.27	856.39	1357	1600	16000	1.584	3.452	15	14	
1354373906	907.32	736.65	1357	1600	16000	1.719	3.313	15	16	
1354373952	901.09	1512.49	1357	1600	16000	1.735	4.580	15	17	
1354373999	954.73	1466.25	1357	1600	16000	1.854	4.562	15	17	
1354374048	950.31	1449.97	1357	1600	16000	1.840	4.830	15	17	
1354374097	953.42	1584.02	1357	1600	16000	1.844	5.172	15	17	
1354374145	843.55	1249.55	1357	1600	16000	1.721	3.290	15	15	
1354374198	957.24	934.91	1357	1600	16000	1.826	3.799	15	15	
1354374249	998.13	716.80	1357	1600	16000	1.958	3.134	15	17	
1354374307	942.12	788.56	1357	1600	16000	1.893	4.252	15	17	
1354374354	1023.06	982.47	1357	1600	16000	1.984	3.404	15	14	
1354374402	971.22	1729.00	1357	1600	16000	1.917	5.438	15	18	
1354374448	982.99	1661.92	1357	1600	16000	1.985	4.845	15	14	
1354374496	934.94	1580.23	1357	1600	16000	1.884	5.046	15	14	
1354374543	955.02	1559.68	1357	1600	16000	1.845	5.021	15	17	
1354374593	958.51	1387.53	1357	1600	16000	1.880	4.892	15	17	
1354374644	1016.40	1157.00	1357	1600	16000	1.908	4.265	15	16	
1354374692	998.75	1823.08	1357	1600	16000	1.909	5.532	15	18	
1354374741	899.25	1505.94	1357	1600	16000	1.874	4.845	15	14	
1354374809	925.26	475.04	1357	1600	16000	1.698	3.206	15	14	
1354374855	990.76	859.99	1357	1600	16000	1.884	2.651	15	17	
1354374901	955.02	1526.18	1357	1600	16000	1.889	4.694	15	17	
1354374950	985.94	1292.73	1357	1600	16000	1.861	4.391	15	17	
1354374997	945.87	837.67	1357	1600	16000	1.838	3.256	15	17	
1354375047	947.75	1509.65	1357	1600	16000	1.897	4.924	15	16	
1354375098	981.70	1228.86	1357	1600	16000	1.896	4.317	15	17	
1354375155	965.45	859.30	1357	1600	16000	1.840	4.342	15	14	
1354375207	999.68	1083.00	1357	1600	16000	1.919	3.747	15	17	
1354375267	847.95	685.02	1357	1600	16000	1.796	3.447	15	14	
1354375323	954.38	631.47	1357	1600	16000	1.911	2.998	15	14	
1354375373	962.60	1385.80	1357	1600	16000	1.908	4.376	15	14	
1354375423	974.34	556.22	1357	1600	16000	1.838	1.880	15	17	
1354375479	995.65	965.14	1357	1600	16000	1.901	4.168	15	15	
1354375531	962.34	1096.06	1357	1600	16000	1.825	3.908	15	17	
1354375597	963.72	414.19	1357	1600	16000	1.879	2.423	15	16	
1354375659	966.18	635.16	1357	1600	16000	1.844	3.553	15	14	
1354375716	797.60	614.40	1357	1600	16000	1.609	2.678	15	14	
1354375763	914.50	1181.23	1357	1600	16000	1.860	3.774	15	17	
1354375818	964.26	1179.05	1357	1600	16000	1.957	4.515	15	16	
1354375869	988.43	803.49	1357	1600	16000	1.851	2.876	15	16	
1354375919	979.49	735.65	1357	1600	16000	1.918	2.829	15	18	
1354375967	898.36	1294.53	1357	1600	16000	1.818	4.441	15	14	
1354376016	620.92	1322.98	1357	1600	16000	1.246	4.337	15	13	
