Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351886004253	1.9809	2.5358	0.3	500	50
1351886004806	1.9678	2.5393	0.3	500	50
1351886005356	1.6474	2.9604	0.3	500	50
1351886005860	2.2105	2.8261	0.3	500	50
1351886006354	2.1246	2.5389	0.3	500	50
1351886006839	2.0914	2.8264	0.3	500	50
1351886007367	2.1177	2.8330	0.3	500	50
1351886007840	2.1342	3.0911	0.3	500	50
1351886008370	1.8516	2.8279	0.3	500	50
1351886008908	1.8345	2.8268	0.3	500	50
1351886009401	1.9880	2.8298	0.3	500	50
1351886009911	1.8569	3.0852	0.3	500	50
1351886010454	1.9380	2.8275	0.3	500	50
1351886011002	1.9911	3.5258	0.3	500	50
1351886011511	1.9262	2.5406	0.3	500	50
1351886012029	2.0143	2.8155	0.3	500	50
1351886012551	1.9416	2.8278	0.3	500	50
1351886013029	1.9905	2.8288	0.3	500	50
1351886013530	1.8939	3.0799	0.3	500	50
1351886014029	2.0013	2.8311	0.3	500	50
1351886014502	1.6394	3.0913	0.3	500	50
1351886015009	2.1041	2.6387	0.3	500	50
1351886015528	1.8961	2.8174	0.3	500	50
1351886016051	1.9953	2.8293	0.3	500	50
1351886016541	2.0821	3.1926	0.3	500	50
1351886017049	1.9725	2.8260	0.3	500	50
1351886017577	1.9905	2.8268	0.3	500	50
1351886018152	1.8284	2.8232	0.3	500	50
1351886018707	2.0149	2.8242	0.3	500	50
1351886019234	2.1239	2.8317	0.3	500	50
1351886019731	2.0069	2.8317	0.3	500	50
1351886020251	2.0457	2.5415	0.3	500	50
1351886020734	1.9972	3.0904	0.3	500	50
1351886021257	1.8933	2.8253	0.3	500	50
1351886021754	2.1681	2.8239	0.3	500	50
1351886022255	2.1489	3.0893	0.3	500	50
1351886022745	2.0026	2.8261	0.3	500	50
1351886023252	1.9643	2.8329	0.3	500	50
1351886023791	1.8707	2.8215	0.3	500	50
1351886024303	1.8653	2.8262	0.3	500	50
