Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351880041370	1.7457	2.8505	200000	400	50
1351880041862	1.7627	2.3883	200000	400	50
1351880042410	1.6450	2.3847	200000	400	50
1351880042902	1.7539	2.5728	200000	400	50
1351880043393	1.5999	2.5814	200000	400	50
1351880043924	1.7740	2.8010	200000	400	50
1351880044414	1.6496	2.8494	200000	400	50
1351880044937	1.6638	2.3824	200000	400	50
1351880045474	1.8234	2.1316	200000	400	50
1351880045988	1.7734	2.3806	200000	400	50
1351880046556	1.6792	2.1424	200000	400	50
1351880047068	1.7849	2.7993	200000	400	50
1351880047606	1.7764	2.5695	200000	400	50
1351880048099	1.7947	2.9425	200000	400	50
1351880048608	1.7910	2.8041	200000	400	50
1351880049177	1.6291	2.4040	200000	400	50
1351880049686	1.3813	2.5737	200000	400	50
1351880050210	1.6221	2.2816	200000	400	50
1351880050735	1.5665	2.7086	200000	400	50
1351880051227	1.6632	2.4924	200000	400	50
1351880051796	1.7434	2.4167	200000	400	50
1351880052307	1.6337	2.5762	200000	400	50
1351880052838	1.8095	2.4143	200000	400	50
1351880053331	1.7592	2.9035	200000	400	50
1351880053839	1.6627	2.8048	200000	400	50
1351880054414	1.6347	2.4581	200000	400	50
1351880054874	1.8614	2.6629	200000	400	50
1351880055374	1.5882	2.6631	200000	400	50
1351880055872	1.7272	2.7994	200000	400	50
1351880056365	1.7788	2.9622	200000	400	50
1351880056876	1.8107	2.5791	200000	400	50
1351880057355	1.8682	2.5749	200000	400	50
1351880057849	1.8715	2.9559	200000	400	50
1351880058355	1.8419	2.0480	200000	400	50
1351880058847	1.8802	2.3820	200000	400	50
1351880059359	1.8715	2.8022	200000	400	50
1351880059832	1.7521	2.6556	200000	400	50
1351880060351	1.5493	2.8519	200000	400	50
1351880060832	1.7837	2.6571	200000	400	50
1351880061313	1.8655	2.5749	200000	400	50
1351880061849	1.7521	2.9497	200000	400	50
1351880062321	1.6638	2.9596	200000	400	50
1351880062848	1.5126	3.0659	200000	400	50
1351880063338	1.7434	2.9006	200000	400	50
1351880063822	1.8014	2.5758	200000	400	50
1351880064373	1.8064	2.5724	200000	400	50
1351880064852	1.8304	2.5740	200000	400	50
1351880065396	1.6595	2.3845	200000	400	50
1351880065873	1.7284	2.6517	200000	400	50
1351880066358	1.8145	2.5775	200000	400	50
1351880066874	1.7216	2.6743	200000	400	50
1351880067406	1.7794	1.4949	200000	400	50
1351880067946	1.6917	2.6622	200000	400	50
1351880068492	1.1340	2.5775	200000	400	50
1351880069042	1.5045	2.3844	200000	400	50
1351880069614	1.7831	2.3821	200000	400	50
1351880070104	1.7663	2.5899	200000	400	50
1351880070631	1.7952	2.7902	200000	400	50
1351880071155	1.7228	2.5760	200000	400	50
1351880071672	1.7492	2.3467	200000	400	50
1351880072205	1.6276	2.8047	200000	400	50
1351880072682	1.6032	2.4588	200000	400	50
1351880073189	1.8304	2.8005	200000	400	50
1351880073664	1.7125	2.6634	200000	400	50
1351880074160	1.7873	2.1301	200000	400	50
1351880074716	1.8021	2.3477	200000	400	50
1351880075213	1.8310	2.5075	200000	400	50
1351880075737	1.6383	2.6651	200000	400	50
1351880076215	1.7843	2.6646	200000	400	50
1351880076717	1.6357	2.4505	200000	400	50
1351880077248	1.8139	2.5725	200000	400	50
1351880077727	1.7597	2.9509	200000	400	50
1351880078259	1.6792	2.5753	200000	400	50
1351880078756	1.7813	2.5726	200000	400	50
1351880079232	1.7965	2.8145	200000	400	50
1351880079791	1.4836	2.8020	200000	400	50
1351880080265	1.7026	2.5771	200000	400	50
1351880080804	1.6476	2.7987	200000	400	50
1351880081336	1.7873	2.5740	200000	400	50
1351880081872	1.8336	2.3813	200000	400	50
1351880082426	1.8368	2.3223	200000	400	50
1351880082941	1.8355	2.6612	200000	400	50
1351880083466	1.6653	2.9483	200000	400	50
1351880083954	1.5931	2.6652	200000	400	50
1351880084458	1.4799	2.5688	200000	400	50
1351880084993	1.6176	2.9577	200000	400	50
1351880085493	1.8152	2.7071	200000	400	50
1351880086077	1.6813	1.9249	200000	400	50
1351880086595	1.4703	2.5772	200000	400	50
1351880087075	1.7990	2.8041	200000	400	50
1351880087627	1.8014	2.8501	200000	400	50
1351880088131	1.8708	2.8039	200000	400	50
1351880088695	1.4004	2.5773	200000	400	50
1351880089253	1.6241	2.1299	200000	400	50
1351880089745	1.8152	2.3487	200000	400	50
1351880090304	1.7740	2.5791	200000	400	50
1351880090814	1.4143	2.6639	200000	400	50
1351880091346	1.7710	2.3804	200000	400	50
1351880091831	1.7831	2.8004	200000	400	50
1351880092329	1.7910	2.5755	200000	400	50
1351880092838	1.6096	2.6508	200000	400	50
1351880093361	1.4106	2.4565	200000	400	50
1351880093904	1.6388	2.6617	200000	400	50
1351880094412	1.8077	2.3871	200000	400	50
1351880094973	1.7043	2.3129	200000	400	50
1351880095471	1.6445	2.6681	200000	400	50
1351880095952	1.7763	3.0705	200000	400	50
1351880096461	1.7405	2.9579	200000	400	50
1351880096966	1.8387	2.9581	200000	400	50
1351880097474	1.7205	2.6583	200000	400	50
1351880097947	1.8662	2.9592	200000	400	50
1351880098468	1.5730	2.9534	200000	400	50
1351880098954	1.7597	2.4571	200000	400	50
1351880099455	1.7651	2.3468	200000	400	50
1351880099919	1.8556	2.7991	200000	400	50
1351880100452	1.1068	2.5741	200000	400	50
1351880101046	1.6004	2.3157	200000	400	50
1351880101573	1.6398	2.4654	200000	400	50
1351880102094	1.8754	2.7975	200000	400	50
1351880102592	1.7142	2.5753	200000	400	50
1351880103106	1.8152	2.2834	200000	400	50
1351880103608	1.6701	2.5729	200000	400	50
1351880104132	1.7580	3.0679	200000	400	50
1351880104720	1.6429	2.5773	200000	400	50
1351880105256	1.6548	2.8003	200000	400	50
1351880105819	1.6317	2.5800	200000	400	50
1351880106334	1.6241	2.3468	200000	400	50
1351880106833	1.8202	2.5787	200000	400	50
1351880107327	1.5162	2.5752	200000	400	50
1351880107846	1.6191	2.3766	200000	400	50
1351880108361	1.8227	2.7060	200000	400	50
1351880108854	1.8368	3.0773	200000	400	50
1351880109404	1.7686	2.2787	200000	400	50
1351880109892	1.7021	2.8014	200000	400	50
1351880110374	1.8271	2.4565	200000	400	50
1351880110865	1.5105	2.5799	200000	400	50
1351880111388	1.7801	2.5758	200000	400	50
1351880111907	1.8246	2.6636	200000	400	50
1351880112425	1.7746	2.7078	200000	400	50
1351880112968	1.7279	2.5782	200000	400	50
1351880113438	1.7387	2.3846	200000	400	50
1351880113939	1.7279	2.4610	200000	400	50
1351880114447	1.3521	2.2768	200000	400	50
1351880114992	1.7977	2.7013	200000	400	50
1351880115506	1.7239	2.9620	200000	400	50
1351880116026	1.8829	2.3925	200000	400	50
1351880116567	1.6465	2.5734	200000	400	50
1351880117120	1.5118	2.8033	200000	400	50
1351880117635	1.6398	2.6602	200000	400	50
1351880118147	1.3750	2.8024	200000	400	50
1351880118633	1.8782	2.5756	200000	400	50
1351880119187	1.5835	2.9597	200000	400	50
1351880119694	1.6590	2.5732	200000	400	50
1351880120224	1.8695	2.9535	200000	400	50
1351880120751	1.6585	2.5766	200000	400	50
1351880121253	1.6009	2.6613	200000	400	50
1351880121754	1.5092	2.6611	200000	400	50
1351880122298	2.7633	3.4972	200000	600	50
1351880123250	1.7699	3.9560	200000	600	50
1351880123795	1.7695	4.0882	200000	600	50
1351880124370	1.6710	3.8884	200000	600	50
1351880124947	1.7007	3.4899	200000	600	50
1351880125518	1.6619	3.8906	200000	600	50
1351880126083	1.8446	3.4984	200000	600	50
1351880126656	1.7375	3.6507	200000	600	50
1351880127218	1.7767	3.7670	200000	600	50
1351880127804	1.9392	3.8878	200000	600	50
