Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351880960428	0.7024	13.2184	200000	500	10
1351880960809	0.7027	12.9908	200000	500	10
1351880961168	0.7184	45.3016	200000	500	10
1351880961533	0.7126	39.8105	200000	500	10
1351880961888	0.7048	13.2236	200000	500	10
1351880962247	0.6672	13.0133	200000	500	10
1351880962608	0.8173	15.1005	200000	500	10
1351880962978	0.6664	12.9499	200000	500	10
1351880963291	0.7732	12.9507	200000	500	10
1351880963776	1.4500	1.8023	200000	500	25
1351880964274	1.1794	2.1043	200000	500	25
1351880964701	1.3146	1.9856	200000	500	25
1351880965144	1.1975	1.8040	200000	500	25
1351880965601	1.3570	2.0373	200000	500	25
1351880966151	1.0615	1.5305	200000	500	25
1351880966623	1.2984	1.9477	200000	500	25
1351880967063	1.3576	1.8068	200000	500	25
1351880967536	1.3387	1.8057	200000	500	25
1351880968060	1.1739	1.9825	200000	500	25
1351880968550	1.3689	1.6570	200000	500	25
1351880968987	1.3509	1.8694	200000	500	25
1351880969461	1.4781	1.8045	200000	500	25
1351880969977	1.3951	1.8021	200000	500	25
1351880970475	1.3975	1.8042	200000	500	25
1351880970912	1.4984	1.8041	200000	500	25
1351880971385	1.4728	1.8024	200000	500	25
1351880971838	1.4481	1.8026	200000	500	25
1351880972298	1.4551	1.9857	200000	500	25
1351880972783	1.2261	1.6777	200000	500	25
1351880973268	1.4342	1.5783	200000	500	25
1351880973726	1.3274	2.1048	200000	500	25
1351880974258	1.1923	1.8059	200000	500	25
1351880974713	1.2664	1.6248	200000	500	25
1351880975149	1.3220	1.8041	200000	500	25
1351880975613	1.1962	1.8050	200000	500	25
1351880976141	1.3933	1.7116	200000	500	25
1351880976600	1.2094	1.9817	200000	500	25
1351880977056	1.3387	2.1103	200000	500	25
1351880977542	1.2271	1.8068	200000	500	25
1351880977976	1.5066	1.8724	200000	500	25
1351880978404	1.3448	1.9806	200000	500	25
1351880978913	1.4761	1.7109	200000	500	25
1351880979473	1.1884	1.7414	200000	500	25
1351880979990	1.4879	1.7109	200000	500	25
1351880980454	1.1529	1.7407	200000	500	25
1351880980956	1.3247	2.1084	200000	500	25
1351880981495	1.1287	1.8055	200000	500	25
1351880982017	1.0875	1.7112	200000	500	25
1351880982489	1.3951	1.5808	200000	500	25
1351880983023	1.2107	1.8260	200000	500	25
1351880983500	1.3886	1.8721	200000	500	25
1351880983940	1.5093	2.1064	200000	500	25
1351880984396	1.1302	1.9089	200000	500	25
1351880984866	1.2358	2.1058	200000	500	25
1351880985362	1.1884	1.8042	200000	500	25
1351880985881	1.2856	1.8062	200000	500	25
1351880986321	1.3062	1.8748	200000	500	25
1351880986801	1.3231	1.8052	200000	500	25
1351880987315	1.2320	1.9826	200000	500	25
1351880987828	1.2090	1.8067	200000	500	25
1351880988245	1.4379	1.8041	200000	500	25
1351880988728	1.4754	1.8036	200000	500	25
1351880989193	1.4695	2.1095	200000	500	25
1351880989661	1.4662	1.8049	200000	500	25
1351880990103	1.2524	1.8039	200000	500	25
1351880990556	1.4675	1.9825	200000	500	25
1351880991024	1.4649	1.9796	200000	500	25
1351880991567	1.1283	1.8038	200000	500	25
1351880992010	1.4788	1.5768	200000	500	25
1351880992538	1.1879	1.6551	200000	500	25
1351880993000	1.3632	1.8717	200000	500	25
1351880993512	1.4436	1.8078	200000	500	25
1351880993941	1.4590	2.1066	200000	500	25
1351880994442	1.4907	1.8052	200000	500	25
1351880994938	1.3712	1.6578	200000	500	25
1351880995459	1.2538	1.8011	200000	500	25
1351880995906	1.2207	1.8052	200000	500	25
1351880996421	1.2019	1.9321	200000	500	25
1351880996902	1.3311	1.7978	200000	500	25
1351880997395	1.2063	1.8699	200000	500	25
1351880997892	1.2630	1.9903	200000	500	25
1351880998405	1.1393	1.8030	200000	500	25
1351880998920	1.3067	1.6793	200000	500	25
1351880999428	1.2752	1.7149	200000	500	25
