Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354132665725	275.10	7093.27	1357	1600	16000	0.752	18.971	13	17	-107	11	30
1354132712458	161.15	6465.92	1357	1600	16000	0.449	17.357	13	18	-106	14	28
1354132760843	177.32	6946.29	1357	1600	16000	0.577	18.545	13	17	-107	11	30
1354132803914	265.56	6111.54	1357	1600	16000	0.617	15.661	13	17	-107	11	30
1354132849336	208.02	6833.73	1357	1600	16000	0.514	18.607	13	17	-106	11	32
1354132892193	197.93	6586.88	1357	1600	16000	0.571	18.396	13	18	-106	11	30
1354132939355	153.25	6448.00	1357	1600	16000	0.465	18.123	13	17	-106	12	28
1354132988591	0.00	6764.54	1357	1600	16000	0.749	17.830	13	18	-106	11	28
1354133035196	268.37	6591.33	1357	1600	16000	0.716	17.597	13	17	-107	11	28
1354133078745	177.88	5885.32	1357	1600	16000	0.324	15.683	13	17	-107	11	30
1354133128528	146.14	6653.42	1357	1600	16000	0.465	18.170	13	17	-106	11	30
1354133173443	102.42	6526.00	1357	1600	16000	0.338	17.285	13	18	-106	13	28
1354133231460	0.00	3313.82	1357	1600	16000	0.659	13.400	13	18	-106	12	28
1354133276382	249.36	2832.23	1357	1600	16000	0.546	9.534	13	17	-106	11	28
1354133319100	135.94	6145.16	1357	1600	16000	0.299	16.526	13	17	-106	11	30
1354133363312	150.50	6686.64	1357	1600	16000	0.320	18.061	13	18	-107	11	30
1354133415609	248.69	6223.11	1357	1600	16000	0.643	18.319	13	19	-107	12	26
1354133465431	188.62	6628.15	1357	1600	16000	0.536	18.810	13	18	-106	13	30
1354133511563	185.97	6551.38	1357	1600	16000	0.505	18.262	13	17	-107	12	0
1354133561537	239.43	6710.52	1357	1600	16000	0.496	18.845	13	17	-107	12	32
1354133607993	223.51	5196.75	1357	1600	16000	0.643	14.783	13	17	-107	12	28
1354133656449	192.42	5369.50	1357	1600	16000	0.600	15.495	13	17	-107	12	28
1354133704300	141.92	5214.42	1357	1600	16000	0.423	15.339	13	17	-107	12	30
1354133754869	185.88	5624.42	1357	1600	16000	0.585	13.933	13	17	-107	11	28
1354133804115	268.84	5686.89	1357	1600	16000	0.907	14.024	13	17	-107	11	30
1354133848530	174.55	6456.96	1357	1600	16000	0.436	17.511	13	18	-107	14	28
1354133893022	171.84	6625.86	1357	1600	16000	0.481	17.349	13	17	-107	11	28
1354133938858	263.50	6384.03	1357	1600	16000	0.598	16.405	13	17	-107	11	28
1354133983102	170.12	5696.32	1357	1600	16000	0.402	14.248	13	17	-107	12	28
1354134029312	212.15	6459.08	1357	1600	16000	0.575	17.607	13	17	-107	12	28
1354134074190	289.94	6372.52	1357	1600	16000	0.581	18.564	13	17	-107	12	28
1354134119917	241.48	6556.80	1357	1600	16000	0.698	17.892	13	17	-107	12	28
1354134164982	243.36	5793.64	1357	1600	16000	0.529	16.551	13	17	-107	12	28
1354134208009	160.91	5187.03	1357	1600	16000	0.485	16.407	13	19	-107	14	28
1354134256722	244.55	5785.00	1357	1600	16000	0.757	16.702	13	19	-107	14	24
1354134299499	250.16	5310.36	1357	1600	16000	0.575	14.431	13	18	-107	14	14
1354134349081	210.80	3640.97	1357	1600	16000	0.576	11.639	13	17	-107	12	28
1354134395282	255.44	4853.98	1357	1600	16000	0.553	14.364	13	17	-107	12	28
1354134447041	307.32	5954.84	1357	1600	16000	0.950	17.258	13	17	-107	12	28
1354134496813	351.53	5036.10	1357	1600	16000	0.879	16.162	13	17	-107	12	28
1354134542963	185.74	5921.80	1357	1600	16000	0.484	16.521	13	18	-107	12	14
1354134595337	328.97	4223.60	1357	1600	16000	1.126	11.478	13	18	-107	12	14
1354134640370	186.72	5915.00	1357	1600	16000	0.509	15.386	13	17	-106	12	28
1354134691755	293.11	5146.41	1357	1600	16000	0.849	13.764	13	18	-107	14	10
1354134736746	303.36	6086.36	1357	1600	16000	0.567	15.272	13	17	-107	12	26
1354134783037	234.44	6370.24	1357	1600	16000	0.550	17.823	13	17	-107	12	26
1354134826998	165.74	5154.56	1357	1600	16000	0.365	13.598	13	18	-107	13	16
1354134869798	385.42	5995.71	1357	1600	16000	0.643	16.038	13	18	-107	13	16
1354134912469	223.51	5617.27	1357	1600	16000	0.512	16.164	13	18	-107	13	16
1354134955555	282.93	6311.28	1357	1600	16000	0.687	17.144	13	18	-107	12	26
1354135003631	204.70	6648.17	1357	1600	16000	0.674	18.934	13	18	-106	14	26
1354135048506	237.41	5391.63	1357	1600	16000	0.546	14.632	13	18	-106	14	26
1354135100560	0.00	5760.10	1357	1600	16000	0.144	16.539	13	17	-107	11	24
1354135145494	248.69	5504.36	1357	1600	16000	0.582	13.573	13	18	-107	12	26
1354135191931	237.41	6929.00	1357	1600	16000	0.571	17.525	13	18	-107	12	26
1354135240306	129.37	6237.41	1357	1600	16000	0.388	17.962	13	18	-107	12	28
1354135288368	191.52	5876.00	1357	1600	16000	0.590	16.405	13	18	-106	14	20
1354135332971	224.84	5631.44	1357	1600	16000	0.572	17.411	13	17	-107	13	24
1354135378728	324.38	5865.00	1357	1600	16000	0.833	14.949	13	18	-107	12	24
1354135423305	324.53	3382.58	1357	1600	16000	0.669	11.932	13	17	-107	11	30
1354135469750	223.29	6165.35	1357	1600	16000	0.595	17.344	13	18	-107	12	28
1354135517246	157.70	6613.47	1357	1600	16000	0.515	17.538	13	18	-107	12	26
1354135567101	272.19	4303.00	1357	1600	16000	0.779	11.966	13	17	-107	12	4
1354135618884	166.24	6521.95	1357	1600	16000	0.507	18.175	13	18	-107	12	26
